danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.842,0.367,9,-7.273,1,0.643,0.017,0.0,0.159,0.363,157.996,audio_features,34tz0eDhGuFErIuW3q4mPX,spotify:track:34tz0eDhGuFErIuW3q4mPX,https://api.spotify.com/v1/tracks/34tz0eDhGuFErIuW3q4mPX,https://api.spotify.com/v1/audio-analysis/34tz0eDhGuFErIuW3q4mPX,261544,4
0.85,0.427,5,-8.367,0,0.319,0.0467,0.0,0.373,0.457,142.162,audio_features,0wshkEEcJUQU33RSRBb5dv,spotify:track:0wshkEEcJUQU33RSRBb5dv,https://api.spotify.com/v1/tracks/0wshkEEcJUQU33RSRBb5dv,https://api.spotify.com/v1/audio-analysis/0wshkEEcJUQU33RSRBb5dv,152962,4
0.933,0.602,5,-7.532,1,0.189,0.00326,0.0,0.128,0.65,144.041,audio_features,7l2nxyx7IkBX5orhkALg0V,spotify:track:7l2nxyx7IkBX5orhkALg0V,https://api.spotify.com/v1/tracks/7l2nxyx7IkBX5orhkALg0V,https://api.spotify.com/v1/audio-analysis/7l2nxyx7IkBX5orhkALg0V,160821,4
0.763,0.72,7,-6.383,1,0.0447,0.00961,0.0,0.165,0.229,129.971,audio_features,2ZL7WZcjuYKi1KUDtp4kCC,spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,https://api.spotify.com/v1/tracks/2ZL7WZcjuYKi1KUDtp4kCC,https://api.spotify.com/v1/audio-analysis/2ZL7WZcjuYKi1KUDtp4kCC,214589,4
0.476,0.406,6,-11.144,0,0.0758,0.24,0.0,0.141,0.12,136.947,audio_features,0sSRLXxknVTQDStgU1NqpY,spotify:track:0sSRLXxknVTQDStgU1NqpY,https://api.spotify.com/v1/tracks/0sSRLXxknVTQDStgU1NqpY,https://api.spotify.com/v1/audio-analysis/0sSRLXxknVTQDStgU1NqpY,399154,4
0.757,0.51,10,-7.352,0,0.329,0.0774,0.0,0.132,0.587,88.931,audio_features,4Flfb4fGscN9kXPOduQLrv,spotify:track:4Flfb4fGscN9kXPOduQLrv,https://api.spotify.com/v1/tracks/4Flfb4fGscN9kXPOduQLrv,https://api.spotify.com/v1/audio-analysis/4Flfb4fGscN9kXPOduQLrv,180098,4
0.732,0.584,1,-8.525,1,0.076,0.00903,0.0,0.318,0.262,103.981,audio_features,7GeTsDIc5ykNB6lORO6Cee,spotify:track:7GeTsDIc5ykNB6lORO6Cee,https://api.spotify.com/v1/tracks/7GeTsDIc5ykNB6lORO6Cee,https://api.spotify.com/v1/audio-analysis/7GeTsDIc5ykNB6lORO6Cee,236795,4
0.747,0.618,4,-6.685,0,0.111,0.061,0.0,0.377,0.377,122.09,audio_features,2KLwPaRDOB87XOYAT2fgxh,spotify:track:2KLwPaRDOB87XOYAT2fgxh,https://api.spotify.com/v1/tracks/2KLwPaRDOB87XOYAT2fgxh,https://api.spotify.com/v1/audio-analysis/2KLwPaRDOB87XOYAT2fgxh,242027,4
0.644,0.533,2,-7.481,1,0.248,0.0113,4.89e-05,0.221,0.113,120.017,audio_features,45pUWUeEWGoSdH6UF162G8,spotify:track:45pUWUeEWGoSdH6UF162G8,https://api.spotify.com/v1/tracks/45pUWUeEWGoSdH6UF162G8,https://api.spotify.com/v1/audio-analysis/45pUWUeEWGoSdH6UF162G8,225439,4
0.621,0.707,4,-5.844,0,0.355,0.158,0.0,0.394,0.255,76.21,audio_features,410TZrK18uRjtsTunG14cl,spotify:track:410TZrK18uRjtsTunG14cl,https://api.spotify.com/v1/tracks/410TZrK18uRjtsTunG14cl,https://api.spotify.com/v1/audio-analysis/410TZrK18uRjtsTunG14cl,356389,4
0.794,0.569,6,-6.424,0,0.275,0.227,0.0,0.235,0.311,99.031,audio_features,2ZlABhxMMa43COmZ97kKsJ,spotify:track:2ZlABhxMMa43COmZ97kKsJ,https://api.spotify.com/v1/tracks/2ZlABhxMMa43COmZ97kKsJ,https://api.spotify.com/v1/audio-analysis/2ZlABhxMMa43COmZ97kKsJ,137151,4
0.71,0.504,1,-6.63,1,0.261,0.033,0.000297,0.146,0.0729,82.452,audio_features,29YW2xXlo6Pc6M0SBTCXYN,spotify:track:29YW2xXlo6Pc6M0SBTCXYN,https://api.spotify.com/v1/tracks/29YW2xXlo6Pc6M0SBTCXYN,https://api.spotify.com/v1/audio-analysis/29YW2xXlo6Pc6M0SBTCXYN,221406,4
0.515,0.706,1,-8.318,1,0.313,0.0571,1.75e-06,0.162,0.192,90.138,audio_features,1MTXYvJ9TSqg9x6WPCDx2n,spotify:track:1MTXYvJ9TSqg9x6WPCDx2n,https://api.spotify.com/v1/tracks/1MTXYvJ9TSqg9x6WPCDx2n,https://api.spotify.com/v1/audio-analysis/1MTXYvJ9TSqg9x6WPCDx2n,178329,4
0.281,0.319,4,-11.826,0,0.0605,0.499,7.03e-06,0.2,0.0519,81.714,audio_features,31bsuKDOzFGzBAoXxtnAJm,spotify:track:31bsuKDOzFGzBAoXxtnAJm,https://api.spotify.com/v1/tracks/31bsuKDOzFGzBAoXxtnAJm,https://api.spotify.com/v1/audio-analysis/31bsuKDOzFGzBAoXxtnAJm,263988,4
0.193,0.0218,0,-31.16,0,0.0389,0.955,0.88,0.117,0.213,125.501,audio_features,1kNdtonJXHorsVpWerK8C2,spotify:track:1kNdtonJXHorsVpWerK8C2,https://api.spotify.com/v1/tracks/1kNdtonJXHorsVpWerK8C2,https://api.spotify.com/v1/audio-analysis/1kNdtonJXHorsVpWerK8C2,36935,3
0.718,0.758,10,-8.29,1,0.0703,0.238,0.00653,0.11,0.349,118.989,audio_features,1vbn9fEyw1IYhqgZJdu9ZB,spotify:track:1vbn9fEyw1IYhqgZJdu9ZB,https://api.spotify.com/v1/tracks/1vbn9fEyw1IYhqgZJdu9ZB,https://api.spotify.com/v1/audio-analysis/1vbn9fEyw1IYhqgZJdu9ZB,266179,4
0.765,0.627,0,-4.607,1,0.0622,0.000916,0.195,0.0847,0.536,118.997,audio_features,4FIgHqXd4KkOwxrGeLDYM2,spotify:track:4FIgHqXd4KkOwxrGeLDYM2,https://api.spotify.com/v1/tracks/4FIgHqXd4KkOwxrGeLDYM2,https://api.spotify.com/v1/audio-analysis/4FIgHqXd4KkOwxrGeLDYM2,308820,4
0.883,0.283,0,-12.653,1,0.113,0.104,0.00167,0.0935,0.416,122.013,audio_features,1eCFz60zd7mAXgWLapPd9B,spotify:track:1eCFz60zd7mAXgWLapPd9B,https://api.spotify.com/v1/tracks/1eCFz60zd7mAXgWLapPd9B,https://api.spotify.com/v1/audio-analysis/1eCFz60zd7mAXgWLapPd9B,157390,4
0.6,0.482,1,-11.596,1,0.0701,0.512,0.000104,0.115,0.323,121.909,audio_features,0nAZGkBGKQCXyaoSJfRhC1,spotify:track:0nAZGkBGKQCXyaoSJfRhC1,https://api.spotify.com/v1/tracks/0nAZGkBGKQCXyaoSJfRhC1,https://api.spotify.com/v1/audio-analysis/0nAZGkBGKQCXyaoSJfRhC1,173097,4
0.826,0.276,11,-11.227,0,0.266,0.62,8.53e-05,0.118,0.484,123.985,audio_features,7sT7kZEYd1MrmzLLIRVZas,spotify:track:7sT7kZEYd1MrmzLLIRVZas,https://api.spotify.com/v1/tracks/7sT7kZEYd1MrmzLLIRVZas,https://api.spotify.com/v1/audio-analysis/7sT7kZEYd1MrmzLLIRVZas,129965,4
0.853,0.495,6,-14.63,1,0.14,0.0917,0.000217,0.0844,0.0774,137.027,audio_features,4rmVZajAF7PkrCagGPHbqa,spotify:track:4rmVZajAF7PkrCagGPHbqa,https://api.spotify.com/v1/tracks/4rmVZajAF7PkrCagGPHbqa,https://api.spotify.com/v1/audio-analysis/4rmVZajAF7PkrCagGPHbqa,243228,4
